"SourceFile","identifiant","type_formation","filiere","date_diplome","emploi_formation","satisfaction_formation","alternance","recommandation_polytech","ig_avantage_double_competence","remuneration_annuelle_brute","prime","remuneration_prime"
"1","1877069833744240","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"oui",5,"","Oui","",31500,"Non",31500
"1","1867772706661410","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"oui",4,"","Oui","",33000,"Oui",33000
"1","1783164948056770","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"oui",3,"","Oui","",36000,"Oui",36000
"1","1777070157836320","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"",4,"","Oui","",NA,"",NA
"1","1885320205889630","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"",2,"","Non","",NA,"",NA
"1","1782336119224670","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"non",4,"","Oui","",32000,"Non",32000
"1","1802846092404660","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"",4,"","Oui","",NA,"",NA
"1","1782455519326140","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"oui",4,"","Oui","",29000,"Non",29000
"1","1782850313432270","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"",3,"","Oui","",30000,"Oui",36000
"1","1783165082353270","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"oui",4,"","Oui","",28200,"Oui",28200
"1","1776102214054560","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"oui",4,"","Oui","",31728,"Oui",34344
"1","1776102349584110","Sous contrat d'apprentissage","Systèmes Embarqués (SE - apprentissage)",2017,"",5,"","Oui","",NA,"",NA
"1","1767833505039570","Sous contrat d'apprentissage","Systèmes Embarqués (SE - apprentissage)",2017,"",5,"","Oui","",NA,"",NA
"1","1789139230825060","Sous contrat d'apprentissage","Systèmes Embarqués (SE - apprentissage)",2017,"oui",3,"","Oui","",35000,"Oui",38000
"1","1789086561411020","Sous contrat d'apprentissage","Systèmes Embarqués (SE - apprentissage)",2017,"oui",4,"","Oui","",36000,"Oui",41000
"1","1794681019749420","Sous contrat d'apprentissage","Systèmes Embarqués (SE - apprentissage)",2017,"",4,"","","",NA,"",NA
"1","1789078677755080","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2017,"",4,"","Oui","",NA,"",NA
"1","1882519960739120","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2017,"oui",2,"","Non","",NA,"Non",NA
"1","1889139174554320","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2017,"",4,"","Oui","",NA,"",NA
"1","1782851081127970","Sous contrat d'apprentissage","Mécanique Structures Industrielles (MSI - apprentissage)",2017,"",3,"","","",NA,"",NA
"1","1882331879034060","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2017,"oui",4,"","Oui","",33000,"Oui",35500
"1","1798760225386290","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2017,"oui",4,"","Oui","",36000,"Non",36000
"1","1789139014496940","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2017,"",4,"","Non","",NA,"",NA
"1","1783551800309570","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2017,"oui",4,"","Oui","",30000,"Oui",32000
"1","1788742523348860","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",4,"","Oui","OUI",29000,"Oui",29000
"1","1888636169617940","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",4,"","Oui","OUI",28000,"Non",28000
"1","1776170137315530","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",4,"","Oui","OUI",38000,"Oui",41000
"1","1898486978428020","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",3,"","Oui","OUI",30000,"Oui",30000
"1","1767833231964470","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",4,"","Oui","NON",30800,"Oui",32000
"1","1793984795250720","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",3,"","Oui","OUI",32960,"Oui",33350
"1","1788578216657640","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",NA,"","Oui","OUI",28880,"Non",28880
"1","1782464366155500","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",4,"","Oui","OUI",29000,"Oui",30000
"1","1783297984544300","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",4,"","Oui","OUI",28200,"Oui",31500
"1","1775503193890190","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",4,"","Oui","OUI",30550,"Oui",30550
"1","1876018957403790","Sous contrat de professionalisation","Informatique et Gestion (IG)",2017,"oui",3,"","Oui","OUI",34000,"Non",34000
"1","1798891408458220","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",4,"","Oui","NON",31500,"Non",31500
"1","1798487317038550","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",4,"","Oui","OUI",29000,"Non",29000
"1","1782714871390490","Sous contrat de professionalisation","Informatique et Gestion (IG)",2017,"oui",5,"","Oui","OUI",30550,"Oui",34100
"1","1776621858821210","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",4,"","Oui","NON",29000,"Non",29000
"1","1782529422968890","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",5,"","Oui","OUI",28200,"Oui",31550
"1","1788460045238170","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2017,"oui",4,"","Oui","NON",38000,"Non",38000
"1","1777059846996580","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"oui",4,"","Oui","",31000,"Non",31000
"1","1817047782834380","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"",3,"","Oui","",NA,"",NA
"1","1868316565723330","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"",4,"","Oui","",NA,"",NA
"1","1788414806499560","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"oui",4,"","Oui","",28000,"Oui",28000
"1","1788468022230090","Sous contrat de professionalisation","Matériaux (MAT)",2017,"oui",3,"","","",26000,"Non",26000
"1","1788742468660480","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"",4,"","Oui","",NA,"",NA
"1","1894480386646310","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"",4,"non","Oui","",NA,"",NA
"1","1813820751836070","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"oui",3,"","Oui","",31000,"Oui",32500
"1","1766828031937710","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"",4,"","Oui","",NA,"",NA
"1","1793784660602810","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"",4,"","Oui","",NA,"",NA
"1","1788410839633160","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"",2,"","Non","",NA,"",NA
"1","1794579283898940","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"non",4,"","Oui","",33000,"Oui",40000
"1","1857533979676060","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"oui",4,"","Oui","",34000,"Non",34000
"1","1788530287304060","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"",2,"","Non","",NA,"",NA
"1","1783100854322520","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"oui",4,"","Oui","",31800,"Oui",33000
"1","1767372926026850","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"non",4,"","","",33000,"Non",33000
"1","1782921154332610","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2017,"",4,"","Oui","",NA,"",NA
"1","1794332564639310","Sous contrat de professionalisation","Mécanique et Interactions (MI)",2017,"oui",4,"","Oui","",26000,"Non",26000
"1","1775940845738490","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2017,"",4,"","","",NA,"",NA
"1","1857533990210840","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2017,"oui",5,"","Oui","",40000,"Non",40000
"1","1788692298075560","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2017,"oui",4,"","Oui","",33410,"Oui",33410
"1","1783292944879190","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2017,"",5,"","Oui","",NA,"",NA
"1","1882421156299700","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2017,"",4,"","Oui","",28000,"Oui",45000
"1","1789078743052160","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2017,"",4,"","Oui","",NA,"",NA
"1","1775261297609710","Sous contrat de professionalisation","Mécanique et Interactions (MI)",2017,"non",5,"","Oui","",32000,"Oui",33000
"1","1783483995976280","Sous contrat d'apprentissage","Mécanique Structures Industrielles (MSI - apprentissage)",2017,"oui",4,"","Oui","",36000,"Oui",39000
"1","1788635920274000","Sous contrat d'apprentissage","Mécanique Structures Industrielles (MSI - apprentissage)",2017,"non",4,"","Non","",28800,"Oui",28800
"1","1768095949487950","Sous contrat d'apprentissage","Mécanique Structures Industrielles (MSI - apprentissage)",2017,"",4,"Oui","Oui","",NA,"",NA
"1","1793993174453520","Sous contrat d'apprentissage","Mécanique Structures Industrielles (MSI - apprentissage)",2017,"oui",4,"","Oui","",NA,"Oui",NA
"1","1789582997205270","Sous contrat d'apprentissage","Mécanique Structures Industrielles (MSI - apprentissage)",2017,"",4,"Oui","Oui","",NA,"",NA
"1","1816751190430000","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2017,"oui",4,"","Oui","",NA,"Oui",NA
"1","1798761120459530","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"",4,"","Oui","",NA,"",NA
"1","1782921034569700","Sous contrat d'apprentissage","Mécanique Structures Industrielles (MSI - apprentissage)",2017,"",5,"Oui","Oui","",NA,"",NA
